arm,run,nom_rank,ident,modality,confidence,reason,gene
masked,0,1,CX759,inhibit,high,"Approved-drug kinase with top-tier selectivity (0.93), perfect tumor specificity (1.00) and full small-molecule tractability, giving an immediately actionable inhibitor.",PDGFRA
masked,0,2,CX883,inhibit,high,"Approved-drug kinase with near-perfect selectivity (0.97), high tractability (1.00) and solid tumor enrichment, offering a low-risk, drug-ready starting point.",MET
masked,0,3,CX793,inhibit,medium,"Strong dependency (0.77) plus MTAP-deletion synthetic-lethal context and full tractability with existing chemistry, though therapeutic window (0.27) needs work.",JUN
masked,0,4,CX657,inhibit,medium,"RB1-synthetic-lethal kinase with high dependency (0.75), excellent tumor enrichment (0.99), good window (0.79) and full tractability despite modest selectivity.",CDK2
masked,0,5,CX254,inhibit,medium,"High dependency (0.71) with dual CDKN2B/NF1 synthetic-lethal signal and strong tumor enrichment, though a novel MoA must be established.",ITGB5
masked,0,6,CX749,inhibit,medium,"Approved-drug enzyme with high selectivity (0.88) and full tractability, providing a druggable, repurposable candidate despite moderate dependency.",EGLN1
masked,0,7,CX496,inhibit,medium,"Highly selective (0.80) druggable enzyme with excellent therapeutic window (0.94) and full tractability, attractive despite lower dependency.",AMY2A
masked,0,8,CX177,inhibit,medium,"Fully tractable enzyme with good selectivity (0.80) and tumor specificity (0.88), a chemically approachable target once the narrow window (0.15) is addressed.",CDC25B
masked,0,9,CX318,inhibit,medium,"High dependency (0.90) with reasonable selectivity and good window/tractability, a clean novel dependency worth mechanistic follow-up.",VRK1
masked,0,10,CX562,inhibit,medium,"Druggable enzyme with high tumor enrichment (0.96) and excellent window (0.90), a promising enzymatic target with existing chemistry.",BRCA1
masked,0,11,CX426,inhibit,medium,"Very high dependency (0.93) in a PTEN-loss synthetic-lethal setting, a compelling GBM-relevant vulnerability though tractability (0.25) is limiting.",FERMT2
masked,0,12,CX199,inhibit,low,"CDKN2A/B synthetic-lethal candidate with strong SL score (0.66) and high tumor specificity, worth pursuing but selectivity (0.01) and common-essentiality warrant caution.",WDR77
masked,0,13,CX648,inhibit,low,"RB1 synthetic-lethal target with strong selectivity (0.87) and good SL/window, mechanistically attractive though tractability (0.00) is a hurdle.",E2F3
masked,0,14,CX786,inhibit,low,"Balanced novel dependency with high selectivity (0.82), tumor specificity (0.85) and enrichment (0.93), a well-rounded target for chemistry investment.",ELAVL1
masked,0,15,CX257,unknown,low,"Highly selective (0.83) target with existing chemistry and reasonable tractability (0.80), promising once its low dependency (0.21) context is defined.",TEAD1
masked,1,1,CX759,inhibit,high,"Approved-drug kinase with perfect tumor specificity, high selectivity vs pan-essential, and top tractability makes it a directly druggable, well-windowed inhibitor target.",PDGFRA
masked,1,2,CX883,inhibit,high,"Approved-drug kinase with near-best selectivity (0.97), good tumor specificity, decent window, and perfect tractability — a clean, actionable inhibition target.",MET
masked,1,3,CX657,inhibit,medium,"Highly tractable kinase with existing chemistry, strong dependency and tumor enrichment plus RB1 synthetic-lethality, though the common-essential/low-selectivity flags require a therapeutic-window check.",CDK2
masked,1,4,CX254,inhibit,medium,"Balanced profile with strong dependency, selectivity, tumor enrichment and dual CDKN2B/NF1 synthetic-lethality, giving genetically defined patient stratification.",ITGB5
