run,condition,dependency,selectivity,synthetic_lethality,tumor_specificity,tumor_enrichment,therapeutic_window,tractability,rationale,sum
0,expert,24.0,18.0,13.0,10.0,6.0,11.0,18.0,"Direct genetic dependency and glioma-selectivity are the strongest causal evidence a target is needed and safely inhibitable, tractability gates whether a small molecule is even feasible, while mere expression enrichment is the weakest (correlative) signal.",100
1,expert,24.0,18.0,12.0,10.0,6.0,12.0,18.0,"Direct genetic dependency and glioma-selectivity carry the most weight as causal survival evidence, tractability and therapeutic window gate deliverability, while correlative enrichment ranks lowest.",100
2,expert,24.0,18.0,12.0,11.0,6.0,14.000000000000002,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, with tractability, therapeutic window, and synthetic lethality next, while expression-based enrichment is weighted lowest since over-expression alone is weak evidence of a true vulnerability.",100
3,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability and safety/window gate whether a real drug is achievable, while mere tumor enrichment is the weakest (correlational) evidence.",100
4,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity are the strongest causal evidence a tumor needs the gene, while tractability, therapeutic window, and synthetic lethality gate druggability and safety; expression-based signals are supportive but weaker proxies.",100
5,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability and therapeutic window gate whether a small molecule is feasible and safe, while expression-based enrichment is weakest as it is only correlative evidence of a target.",100
6,expert,24.0,18.0,12.0,12.0,8.0,12.0,14.000000000000002,"Genetic dependency and its glioma-selectivity are the strongest causal evidence a target is needed, so they lead; small-molecule tractability and safety window gate whether a dependency is actionable, while expression-only enrichment is weighted least as it is correlative rather than causal.",100
7,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, small-molecule tractability and therapeutic-window safety are near-necessary practical gates, while mere expression enrichment is the weakest correlate of true vulnerability.",100
8,expert,24.0,18.0,12.0,10.0,6.0,14.000000000000002,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal survival evidence, with tractability and therapeutic window essential for a viable small-molecule drug, while mere expression enrichment is weakest as it is only correlative.",100
9,expert,24.0,18.0,12.0,12.0,8.0,11.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight for a survival target, with tractability and safety-oriented specificity/window as strong practical filters, while mere expression enrichment is weakest as it is only correlative.",100
10,expert,24.0,17.0,13.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability gates whether a small molecule is even feasible, and safety plus genotype-stratified and single-cell specificity refine the window, while bulk over-expression is the weakest standalone evidence.",100
11,expert,24.0,18.0,12.0,11.0,7.000000000000001,13.0,15.0,"Direct genetic dependency plus its glioma-selectivity anchor causal need for the target, while tractability, therapeutic window, and synthetic lethality gate druggability and safety, with expression-based enrichment weighted lowest as merely correlative.",100
12,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and glioma-selectivity carry the most causal weight, with small-molecule tractability and safety (window/specificity) heavily gating actionability, while mere expression enrichment is the weakest standalone signal.",100
13,expert,24.0,18.0,12.0,10.0,7.000000000000001,11.0,18.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, with tractability and safety-related terms weighted next since an undruggable or pan-essential target fails regardless of expression, while enrichment/specificity are supportive but weaker correlational evidence.",100
14,expert,24.0,18.0,12.0,11.0,7.000000000000001,10.0,18.0,"Direct genetic dependency and its glioma-selectivity anchor causal need, tractability gates whether a small molecule is even feasible, while synthetic lethality, single-cell tumor specificity, window, and mere bulk enrichment refine but don't drive prioritization.",100
15,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, followed by small-molecule tractability and safety/window, with expression-based enrichment weighted least as it is only correlative.",100
16,expert,24.0,18.0,12.0,12.0,7.000000000000001,12.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, with tractability and safety/specificity as gating filters and expression-only enrichment weighted least since over-expression alone poorly predicts a true vulnerability.",100
17,expert,24.0,18.0,12.0,11.0,7.000000000000001,12.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most weight as causal evidence the tumor needs the gene, tractability and window gate whether a safe small molecule is feasible, and expression-based enrichment is weighted least as it is only correlative.",100
18,expert,24.0,16.0,14.000000000000002,12.0,7.000000000000001,12.0,15.0,"Direct genetic dependency and its glioma-selectivity carry the most weight since they are the strongest causal evidence a tumor needs the gene, with synthetic lethality, druggability, safety window, and tumor-cell specificity as strong modifiers and correlative over-expression weighted least.",100
19,expert,24.0,18.0,12.0,12.0,8.0,10.0,16.0,"Direct genetic dependency and its glioma-selectivity carry the most causal weight, tractability gates whether a small molecule is even feasible, while expression-based enrichment is weighted least as a weaker, indirect signal.",100
