arm,run,nom_rank,ident,modality,confidence,reason,gene
named,0,1,PDGFRA,inhibit,high,"GBM-defining amplified receptor kinase with maximal tumor-specificity and full small-molecule tractability plus approved-drug precedent, making it the most actionable target on the list.",PDGFRA
named,0,2,MET,inhibit,high,"Strongly selective, druggable receptor kinase with approved inhibitors and a role in GBM invasion and EGFR-inhibitor resistance.",MET
named,0,3,CDK2,inhibit,high,"Dependency-supported druggable kinase with RB1 synthetic-lethality and mature selective-inhibitor chemistry, though pan-essentiality demands a therapeutic-window guard.",CDK2
named,0,4,CDK7,inhibit,medium,"Fully tractable transcriptional kinase with clinical-stage covalent inhibitors and PTEN synthetic-lethality, attractive despite common-essential liability.",CDK7
named,0,5,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now genuinely druggable via the lipid-pocket palmitoylation site with clinical TEAD inhibitors, relevant to mesenchymal GBM.",TEAD1
named,0,6,EGLN1,inhibit,medium,"Well-validated, drug-like prolyl-hydroxylase (PHD2) enzyme with approved inhibitor chemistry offering a hypoxia-axis handle in GBM.",EGLN1
named,0,7,VRK1,inhibit,medium,"High-dependency serine/threonine kinase with reasonable tractability and emerging paralog-SL rationale, a credible novel inhibitor target.",VRK1
named,0,8,KIF18A,inhibit,medium,"High-dependency kinesin motor with an ATPase active site and clinical-stage inhibitors, and excellent tumor-enrichment/window, but low selectivity flags mitotic-toxicity risk.",KIF18A
named,0,9,KIF2C,inhibit,medium,"Top-composite mitotic kinesin with outstanding tumor-enrichment and window plus CDKN2A/B synthetic-lethality, though it needs de novo inhibitor discovery.",KIF2C
named,0,10,GPX4,inhibit,medium,"Strong-dependency ferroptosis enzyme with a defined catalytic mechanism and emerging covalent chemistry, offering a mesenchymal-GBM vulnerability but with a narrow CNS window to manage.",GPX4
named,0,11,PTPN11,inhibit,medium,Fully tractable allosteric phosphatase (SHP2) with clinical inhibitors that could block RTK/RAS signaling downstream of EGFR/PDGFRA in GBM.,PTPN11
named,0,12,ELAVL1,inhibit,low,"HuR RNA-binding oncoprotein with tumor-enriched dependency and small-molecule proof-of-concept, a novel but plausible inhibition target.",ELAVL1
named,0,13,WWTR1,inhibit,low,"TAZ transcriptional coactivator driving GBM mesenchymal state, addressable indirectly via the same TEAD/palmitoylation axis rather than direct inhibition.",WWTR1
named,0,14,E2F3,inhibit,low,"RB1-synthetic-lethal transcription factor node biologically compelling for GBM, but currently lacks a direct small-molecule mechanism so best pursued via upstream CDK inhibition.",E2F3
named,0,15,KIF18B,inhibit,low,"Mitotic kinesin with strong tumor-specificity, enrichment and window and CDKN2A/B synthetic-lethality, worth chemical-tractability exploration despite no current inhibitor.",KIF18B
named,1,1,PDGFRA,inhibit,high,"GBM's canonical amplified/mutated RTK driver with excellent tumor-specificity, selectivity, full small-molecule tractability, and approved-drug chemistry to build on.",PDGFRA
named,1,2,MET,inhibit,high,Validated GBM RTK bypass/driver with top-tier selectivity and tractability plus CNS-penetrant approved inhibitors already in trials.,MET
named,1,3,CDK2,inhibit,high,Strong dependency and full tractability with an RB1-synthetic-lethal rationale and a mature selective-inhibitor chemistry landscape.,CDK2
named,1,4,VRK1,inhibit,medium,Druggable kinase with very high dependency and a well-established SL relationship (VRK2/promoter methylation) making it an attackable serine-threonine kinase target.,VRK1
named,1,5,KIF18A,inhibit,medium,Mitotic kinesin with an excellent therapeutic window and emerging first-in-class inhibitor chemistry demonstrating that this target class is druggable.,KIF18A
named,1,6,TEAD1,inhibit,medium,"Hippo-pathway transcriptional effector now genuinely druggable via the autopalmitoylation lipid pocket, with good selectivity and clinical-stage inhibitors.",TEAD1
named,1,7,CDK7,inhibit,medium,"Transcriptional CDK with fully mature covalent-inhibitor chemistry and a PTEN-loss SL hook, useful despite common-essentiality via dosing window.",CDK7
named,1,8,ELAVL1,inhibit,low,"HuR RNA-binding protein with strong tumor enrichment and specificity; small-molecule disruptors of its RNA interaction are emerging, warranting nomination.",ELAVL1
named,1,9,CDC25B,inhibit,low,"Cell-cycle phosphatase with existing chemistry and high tractability/tumor-specificity, though a genuine inhibitor MoA still needs establishing.",CDC25B
named,1,10,EGLN1,inhibit,low,PHD2 prolyl hydroxylase is a fully tractable enzyme with approved inhibitors; hypoxia-axis modulation is a plausible GBM angle worth testing.,EGLN1
named,1,11,KIF18B,inhibit,low,"Mitotic kinesin with outstanding therapeutic window and tumor enrichment, sharing a druggable target class with KIF18A despite no current tool compound.",KIF18B
named,1,12,KIF2C,inhibit,low,"Top-composite mitotic kinesin with exceptional tumor enrichment and window, nominated as a target-class play though it currently lacks an inhibitor MoA.",KIF2C
named,1,13,ERCC6L,inhibit,low,"PICH DNA translocase shows very high tumor enrichment, specificity, and window as an ATPase-class enzyme, a plausible novel druggable node.",ERCC6L
named,1,14,FGFR1,inhibit,low,GBM RTK driver with full tractability and approved inhibitors; included with reservations given its poor therapeutic-window/CNS-safety signal.,FGFR1
named,1,15,PTPN11,inhibit,low,"SHP2 is a druggable phosphatase hub downstream of GBM RTK signaling with clinical allosteric inhibitors, offset by narrow window and essentiality.",PTPN11
named,2,1,PDGFRA,inhibit,high,"GBM-amplified receptor tyrosine kinase with near-perfect selectivity, tumor specificity and tractability plus approved-drug chemistry, making it the cleanest druggable oncogenic driver on the list.",PDGFRA
named,2,2,MET,inhibit,high,"Validated RTK driver in GBM (including EGFRvIII-associated resistance) with very high selectivity, full tractability and approved kinase inhibitors available for CNS-focused optimization.",MET
named,2,3,CDK2,inhibit,high,"Fully tractable kinase with existing chemistry and RB1 synthetic-lethality, offering a mechanistically rational route into the near-universal CDKN2A/RB axis in GBM.",CDK2
named,2,4,KIF18A,inhibit,medium,Highly selective mitotic kinesin dependency enriched in chromosomally unstable tumors with an excellent therapeutic window and emerging clinical-stage inhibitor chemistry.,KIF18A
named,2,5,KIF2C,inhibit,medium,"Top-composite mitotic kinesin with outstanding tumor enrichment and window and CDKN2A/B synthetic-lethality, though it needs a new inhibitor MoA to be developed.",KIF2C
named,2,6,VRK1,inhibit,medium,"Strong, selective serine/threonine kinase dependency that is chemically tractable and represents a genuinely novel druggable enzyme worth prosecuting.",VRK1
named,2,7,KIF18B,inhibit,medium,"Novel mitotic kinesin with excellent tumor specificity, enrichment and window plus CDKN2A/B synthetic-lethality, credible as an inhibition target despite needing chemistry.",KIF18B
named,2,8,CDK7,inhibit,medium,"Fully tractable transcription/cell-cycle kinase with mature inhibitor chemistry and PTEN synthetic-lethality, a plausible GBM target if the common-essential window is managed.",CDK7
named,2,9,TEAD1,inhibit,medium,"Druggable via its lipid pocket (has chemistry) and central to Hippo/YAP-driven GBM invasion, giving a mechanistically attractive small-molecule inhibition target.",TEAD1
named,2,10,EGLN1,inhibit,medium,"Fully tractable prolyl hydroxylase enzyme with approved-drug chemistry; its hypoxia-signaling role in GBM makes it a reasonable, well-defined inhibitor target.",EGLN1
named,2,11,CDC25B,inhibit,low,"Tractable cell-cycle phosphatase with existing chemistry and strong tumor specificity, though the narrow therapeutic window tempers enthusiasm.",CDC25B
named,2,12,ELAVL1,inhibit,low,"Novel RNA-binding oncoprotein (HuR) with high tumor specificity/enrichment and emerging small-molecule disruptors, a mechanistically interesting inhibition target.",ELAVL1
named,2,13,WDR77,inhibit,low,"Novel PRMT5-cofactor dependency with CDKN2A/B synthetic-lethality and good tumor specificity, plausibly druggable through the PRMT5 complex axis relevant to MTAP-deleted GBM.",WDR77
named,2,14,E2F3,inhibit,low,RB1 synthetic-lethal transcription factor central to GBM cell-cycle deregulation; conceptually strong but currently lacks any inhibitor MoA (tract=0).,E2F3
named,2,15,FGFR1,inhibit,low,"Bona fide GBM RTK driver, fully tractable with approved inhibitors, nominated with caution because of a poor therapeutic window and CNS safety liability.",FGFR1
named,3,1,PDGFRA,inhibit,high,"Amplified/mutated GBM driver RTK with tumor-specific expression, top tractability, and approved-drug chemistry — the most actionable direct target here.",PDGFRA
named,3,2,MET,inhibit,high,"Bona fide GBM RTK driver with excellent selectivity, high tumor enrichment, and clinical-grade small-molecule inhibitors.",MET
named,3,3,CDK2,inhibit,high,"Strong dependency with fully tractable ATP-site chemistry and RB1-synthetic-lethal rationale, though pan-essentiality needs a therapeutic-window strategy.",CDK2
named,3,4,KIF18A,inhibit,medium,"High-dependency mitotic kinesin with emerging selective small-molecule inhibitors and a wide predicted window, favoring CIN-high tumors.",KIF18A
named,3,5,KIF2C,inhibit,medium,"Top composite driven by outstanding tumor enrichment and window with CDKN2A/B synthetic lethality, though inhibitor MoA for this kinesin is unproven.",KIF2C
