run,nom_rank,gene,modality,confidence,reason
0,1,PDGFRA,inhibit,high,"Recurrently amplified/mutated GBM driver RTK with a genuine inhibitor MoA, top-tier tractability, perfect tumor specificity, and approved kinase-drug precedent."
0,2,MET,inhibit,high,"Validated GBM RTK driver (amplification, exon-14 splice, RTK-switch resistance node) with excellent selectivity, full tractability, and clinical-grade inhibitors."
0,3,CDK2,inhibit,high,"Highly dependent, fully tractable kinase with a real inhibitor MoA and synthetic lethality with RB1 loss, decent therapeutic window despite pan-essential caution."
0,4,CDK7,inhibit,medium,"Druggable transcriptional CDK with covalent inhibitors in trials, PTEN synthetic lethality, and good tumor specificity, though pan-essentiality narrows the window."
0,5,TEAD1,inhibit,medium,"Hippo/YAP effector now genuinely druggable via autopalmitoylation-pocket inhibitors, good selectivity and tumor enrichment relevant to mesenchymal GBM."
0,6,KIF18A,inhibit,medium,"Mitotic kinesin with an emerging real inhibitor MoA and chromosomally-unstable-tumor selectivity, very high dependency, wide therapeutic window."
0,7,VRK1,inhibit,medium,"Strong, selective dependency (a validated paralog/synthetic-lethal vulnerability) in a druggable kinase class with good tractability and window."
0,8,KIF2C,inhibit,medium,"Top-composite mitotic kinesin with outstanding tumor enrichment and therapeutic window plus CDKN2A/B synthetic lethality, but needs de novo inhibitor chemistry."
0,9,KIF18B,inhibit,medium,"Mitotic kinesin with excellent tumor specificity, near-maximal tumor enrichment and window plus CDKN2A/B synthetic lethality, kinesin class is inhibitable in principle."
0,10,ELAVL1,inhibit,low,"HuR RNA-binding oncogenic hub with tumor-specific enrichment and emerging small-molecule disruptors of its RNA interface, biologically compelling GBM node."
0,11,CDC25B,inhibit,low,"Druggable phosphatase enzyme with good tumor specificity and selectivity, though poor therapeutic window and lack of a clean inhibitor MoA temper enthusiasm."
0,12,E2F3,inhibit,low,Selective RB1-synthetic-lethal transcription factor with good selectivity and tumor enrichment; mechanistically attractive but TF druggability is unproven.
0,13,EGLN1,inhibit,low,"PHD2 prolyl-hydroxylase is a fully tractable enzyme with approved-drug chemistry, but direction/benefit in GBM (HIF axis) is context-dependent and dependency is modest."
0,14,PTK2,inhibit,low,"FAK is a fully druggable kinase with clinical inhibitors and CDKN2A/B synthetic lethality relevant to invasive GBM, though it is largely TME-driven with a narrow window."
0,15,WDR77,inhibit,low,"PRMT5 cofactor with strong CDKN2A/B(MTAP) synthetic-lethal biology and high tumor specificity/enrichment, targetable through the well-validated PRMT5 axis."
1,1,PDGFRA,inhibit,high,"Validated GBM driver RTK with high tumor specificity, excellent tractability, and approved kinase inhibitors — a directly druggable, oncogene-addiction target."
1,2,MET,inhibit,high,"Well-validated GBM oncogenic RTK with top-tier selectivity and tractability and clinically available inhibitors, active in a resistance/invasion-driving subset."
1,3,CDK2,inhibit,medium,"Highly tractable kinase with mature chemistry and RB1-pathway synthetic lethality relevant to CDKN2A/B-deleted GBM, though low selectivity/common-essentiality demands a therapeutic-window strategy."
1,4,CDK7,inhibit,medium,Druggable transcriptional CDK with covalent chemistry and PTEN synthetic lethality; common-essentiality is the main liability but the small-molecule path is real.
1,5,TEAD1,inhibit,medium,"Hippo-pathway transcription factor now genuinely druggable via lipid-pocket palmitoylation-site inhibitors, with good selectivity and tumor enrichment in mesenchymal GBM."
1,6,ITGAV,inhibit,medium,"Strong dependency with established integrin chemistry (RGD/small molecules) and CDKN2A/B synthetic lethality, though poor tumor specificity means it is largely a TME/adhesion target."
1,7,ITGB5,inhibit,medium,High dependency with CDKN2B/NF1 synthetic lethality and good tumor enrichment; integrin-class targeting is biologically plausible but MoA/chemistry is immature.
1,8,EGLN1,inhibit,medium,"Prolyl-hydroxylase enzyme with fully mature small-molecule inhibitors (approved PHD inhibitors), offering a repurposable, highly tractable hypoxia-axis entry point."
1,9,PTK2,inhibit,low,"FAK is a druggable kinase with clinical inhibitors and adhesion/invasion biology, but weak tumor specificity and CNS-safety risk make it a conditional bet."
1,10,VRK1,inhibit,medium,"Strong, relatively selective GBM dependency and an emerging druggable kinase with paralog (VRK2-loss) vulnerability, though no validated inhibitor MoA yet."
1,11,KIF18A,inhibit,medium,"Very high dependency with tumor-selective mitotic vulnerability and genuine emerging clinical inhibitors, making it a tractable anti-mitotic target despite common-essential flag."
1,12,ELAVL1,inhibit,low,HuR RNA-binding protein with high tumor enrichment and reasonable selectivity; small-molecule disruptors of RNA binding are emerging but chemistry remains early.
1,13,CDC25B,inhibit,low,"Enzyme (phosphatase) with existing chemistry and good tumor specificity, offering a cell-cycle-checkpoint angle, though poor therapeutic window is a concern."
1,14,E2F3,inhibit,low,RB1-synthetic-lethal transcription factor with strong biology in RB-deficient GBM; nominated as a mechanism worth pursuing though TFs are hard and tractability is currently zero.
1,15,GPX4,inhibit,low,"Very high dependency and a validated ferroptosis-induction node with real small-molecule inhibitors, attractive for GBM if the narrow therapeutic window/CNS risk can be managed."
2,1,PDGFRA,inhibit,high,"Validated GBM oncogenic driver (amplified/mutated) with clinical-stage kinase inhibitors, perfect tractability and tumor specificity, and a clean directional inhibition rationale."
2,2,MET,inhibit,high,"Actionable RTK driver in a GBM subset with approved kinase inhibitors, excellent selectivity and tractability, and a clear inhibition MoA."
2,3,CDK2,inhibit,medium,"Strong dependency and enrichment with mature small-molecule chemistry and an RB1 synthetic-lethal rationale, though pan-essentiality demands a wide-therapeutic-window inhibitor."
2,4,EGLN1,inhibit,medium,Highly tractable enzyme (PHD2) with approved-drug chemistry and good selectivity; druggable active site makes it a realistic small-molecule handle in GBM biology.
2,5,TEAD1,inhibit,medium,"Hippo-pathway transcriptional effector with an emerging palmitate-pocket inhibitor MoA and good selectivity/tractability, giving a rare druggable route into a transcription factor."
2,6,KIF18A,inhibit,medium,"Strong, selective mitotic dependency with a validated first-in-class inhibitor precedent (KIF18A inhibitors in clinic) and an excellent therapeutic window despite common-essential flag."
2,7,CDK7,inhibit,medium,"Transcriptional/cell-cycle kinase with covalent inhibitor chemistry and a PTEN synthetic-lethal angle, tractable but requiring careful window management."
2,8,VRK1,inhibit,medium,"High, selective GBM dependency in a druggable kinase family (paralog SL potential), making it a strong novel inhibition target despite no current tool compound."
2,9,KIF2C,inhibit,low,"Top composite from strong tumor enrichment, window, and CDKN2A/B synthetic lethality, but as a kinesin motor it needs new inhibitor chemistry to be actionable."
2,10,ITGB5,inhibit,low,"Tumor-enriched integrin with NF1/CDKN2B synthetic-lethal signal and moderate tractability, offering a cell-surface small-molecule/antagonist opportunity distinct from TME-confounded ITGAV."
2,11,KIF18B,inhibit,low,"Excellent window and tumor specificity with CDKN2A/B synthetic lethality in the mitotic-kinesin class alongside druggable KIF18A precedent, though tractability is currently zero."
2,12,ELAVL1,inhibit,low,"Selective, tumor-enriched RNA-binding oncogenic dependency (HuR) with growing small-molecule interference approaches, a plausible if hard-to-drug node."
2,13,PTPN11,inhibit,low,"SHP2 is a validated allosteric-inhibitor target with mature chemistry acting downstream of RTK signaling relevant to GBM, but pan-essentiality and CNS safety cap enthusiasm."
2,14,E2F3,degrade,low,"RB1 synthetic-lethal transcription factor with good selectivity and tumor enrichment; mechanistically compelling but currently undruggable, so best pursued via degrader strategies."
2,15,WWTR1,inhibit,low,"TAZ is a targetable Hippo effector convergent with the druggable TEAD axis, giving an indirect small-molecule route despite TME-dominated tumor-specificity signal."
3,1,PDGFRA,inhibit,high,"Classic GBM amplified/mutated RTK driver with excellent selectivity, tumor specificity and full small-molecule tractability plus approved-drug precedent."
3,2,MET,inhibit,high,Validated GBM oncogenic RTK (amplification/exon-14 splicing) with top selectivity and tractability and approved inhibitors available for repurposing.
3,3,CDK2,inhibit,high,Highly tractable kinase with mature chemistry and RB1-pathway synthetic lethality relevant to CDKN2A/RB1-altered GBM; selectivity is the main caveat but window is reasonable.
3,4,KIF2C,inhibit,medium,"Top composite driven by strong tumor enrichment and therapeutic window with plausible tractability, though it needs de novo inhibitor development as a mitotic kinesin."
