run,condition,dependency,selectivity,synthetic_lethality,tumor_specificity,tumor_enrichment,therapeutic_window,tractability,rationale,sum
0,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal strength and category concentration measures carry the most weight, contrast and subgroup-association measures moderate weight, and the reference-baseline and structural-annotation measures the least.",100
1,non_expert,22.0,16.0,12.0,18.0,14.000000000000002,10.0,8.0,"Contrast/enrichment signals (dependency, tumor_specificity) carry the most weight since they directly capture group-differential signal, while penalty and annotation-property features get less.",100
2,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, specificity) get the most weight, group-comparison and selectivity measures are moderately weighted, while single-property reference-level and structural annotation scores receive the least.",100
3,non_expert,22.0,16.0,12.0,18.0,15.0,10.0,7.000000000000001,"Signal-strength and specificity/concentration measures carry the most weight, subgroup-association and cross-group comparisons are moderate, while reference-level and structural/annotation properties are supporting factors.",100
4,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, tumor_specificity) carry the most weight, contrast/selectivity measures are moderate, and the low-reference and structural-annotation scores contribute least.",100
5,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Differential-signal measures (dependency, specificity, enrichment, selectivity) carry the most weight as direct evidence of group-distinguishing signal, while subgroup association, reference-level safety, and structural annotation contribute supporting but lesser value.",100
6,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity/concentration measures carry the most weight, group-comparison and label-association scores are secondary, and reference-level and structural-annotation properties are supporting factors.",100
7,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity measures (dependency, tumor_specificity) get the most weight, with group-comparison and selectivity metrics moderate, and single-property structural/reference measures weighted least.",100
8,non_expert,22.0,16.0,12.0,18.0,15.0,10.0,7.000000000000001,"Group-contrast signal strength (dependency, specificity, enrichment, selectivity) carries the most weight as the core discriminative evidence, subgroup association and reference-safety add supporting value, and the structural/annotation property is weighted least as a modifier.",100
9,non_expert,22.0,17.0,10.0,17.0,14.000000000000002,12.0,8.0,"Signal-strength and specificity/selectivity measures (dependency, tumor_specificity, selectivity) carry the most weight as core discriminators, group-comparison and reference-level measures get moderate weight, and the structural/annotation property is weighted lowest.",100
10,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity/concentration measures (dependency, tumor_specificity) carry the most weight, group-contrast and selectivity measures are moderately weighted, and reference-level and structural-annotation properties get the least.",100
11,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and specificity/concentration measures (dependency, tumor_specificity) carry the most weight since they directly indicate differential relevance, contrast and selectivity measures are secondary, and the structural/reference-baseline features (therapeutic_window, tractability) contribute least.",100
12,non_expert,22.0,15.0,12.0,18.0,15.0,10.0,8.0,"Signal-strength and concentration measures (dependency, specificity) get the most weight, group-contrast and selectivity measures a moderate share, while single-property annotation and reference-baseline scores contribute least.",100
